PRISM Time Series Data
Location:  Lat: 25.6148   Lon: -80.5684   Elev: 2m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1999-01 - 2018-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Dec-02
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2015-07,150.07,22.7,28.3,33.8
2015-08,219.98,23.6,28.7,33.7
2015-09,204.33,24.0,28.5,32.9
2015-10,156.95,23.1,26.8,30.5
2015-11,68.42,22.4,25.8,29.2
2015-12,198.32,21.9,24.7,27.5
2016-01,162.57,15.5,19.2,22.9
2016-02,52.33,13.1,18.6,24.1
2016-03,11.74,17.9,23.2,28.4
2016-04,10.77,17.6,23.0,28.4
2016-05,231.72,23.2,26.8,30.5
2016-06,157.24,24.9,28.7,32.6
2016-07,137.02,25.3,29.3,33.3
2016-08,301.40,25.3,29.0,32.7
2016-09,196.88,25.3,28.7,32.2
2016-10,165.17,22.9,26.3,29.7
2016-11,9.48,18.4,22.8,27.1
2016-12,64.42,19.2,23.4,27.6
2017-01,59.96,14.2,20.0,25.8
2017-02,28.04,14.4,21.0,27.5
2017-03,52.78,14.5,20.9,27.3
2017-04,71.11,18.1,23.7,29.3
2017-05,93.91,19.9,26.0,32.1
2017-06,307.62,23.9,27.7,31.6
2017-07,242.21,25.3,29.0,32.7
2017-08,249.60,25.8,29.1,32.4
2017-09,398.23,26.0,29.0,31.9
2017-10,217.28,23.7,26.5,29.2
2017-11,65.28,21.2,24.3,27.4
2017-12,16.09,17.6,21.6,25.6
2018-01,22.79,14.2,18.5,22.8
2018-02,18.37,18.9,23.2,27.5
2018-03,10.12,14.1,20.4,26.8
2018-04,47.07,17.0,23.8,30.6
2018-05,293.24,21.2,25.3,29.3
2018-06,203.62,24.2,28.1,32.0
2018-07,193.24,25.4,29.0,32.5
2018-08,218.98,25.5,28.9,32.3
2018-09,183.90,25.8,28.7,31.6
2018-10,42.22,24.2,27.4,30.6
2018-11,26.78,20.1,24.2,28.4
2018-12,55.92,15.8,20.8,25.9
