PRISM Time Series Data
Location:  Lat: 39.7622   Lon: -104.8761   Elev: 1623m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1999-01 - 2018-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2019-Dec-02
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2007-09,24.01,8.9,17.7,26.5
2007-10,32.35,3.2,11.8,20.4
2007-11,4.70,-2.7,5.4,13.5
2007-12,36.23,-9.6,-2.9,3.8
2008-01,8.40,-10.0,-2.6,4.8
2008-02,13.20,-6.7,0.8,8.2
2008-03,17.07,-3.5,4.2,11.9
2008-04,17.99,-1.0,7.3,15.7
2008-05,46.74,5.2,13.1,20.9
2008-06,15.27,11.4,19.6,27.8
2008-07,5.17,15.5,24.4,33.3
2008-08,113.37,13.7,21.4,29.1
2008-09,40.33,8.1,16.0,23.9
2008-10,24.59,2.6,10.6,18.6
2008-11,7.07,-2.1,6.3,14.7
2008-12,17.54,-10.3,-2.7,5.0
2009-01,11.68,-5.9,1.4,8.8
2009-02,3.07,-4.5,3.7,11.8
2009-03,26.38,-2.8,5.5,13.8
2009-04,106.31,0.2,7.2,14.2
2009-05,73.01,8.3,14.8,21.4
2009-06,91.60,10.4,17.5,24.6
2009-07,91.25,13.5,21.1,28.6
2009-08,22.40,12.6,20.8,29.0
2009-09,20.74,8.2,16.4,24.6
2009-10,63.46,-1.2,5.7,12.7
2009-11,17.39,-1.7,6.0,13.6
2009-12,19.19,-10.9,-4.1,2.8
2010-01,2.53,-7.8,-0.5,6.9
2010-02,18.31,-8.3,-2.1,4.1
2010-03,46.54,-2.4,4.5,11.3
2010-04,59.90,1.3,8.8,16.3
2010-05,39.72,4.6,12.0,19.5
2010-06,47.34,12.5,20.3,28.1
2010-07,31.87,14.5,22.9,31.2
2010-08,26.23,14.5,22.8,31.2
2010-09,1.41,9.5,19.0,28.6
2010-10,12.60,4.5,12.5,20.6
2010-11,11.57,-4.0,3.8,11.6
2010-12,6.35,-6.3,1.7,9.8
2011-01,16.06,-8.1,-1.2,5.7
2011-02,19.68,-9.9,-2.2,5.4
2011-03,6.80,-2.3,5.9,14.1
2011-04,28.15,1.3,9.0,16.6
2011-05,103.93,4.7,10.9,17.1
2011-06,37.58,10.9,19.6,28.3
2011-07,170.58,16.3,24.0,31.8
2011-08,4.98,15.6,24.2,32.7
2011-09,36.01,8.5,16.8,25.1
2011-10,46.18,2.5,10.9,19.2
2011-11,14.43,-3.4,4.5,12.3
2011-12,35.59,-10.3,-2.8,4.6
2012-01,9.28,-5.5,2.2,9.9
2012-02,38.62,-8.0,-1.9,4.2
2012-03,0.54,0.5,9.0,17.4
2012-04,27.70,3.4,11.7,19.9
2012-05,37.62,7.5,15.6,23.7
2012-06,15.65,14.3,23.2,32.1
2012-07,60.80,17.3,25.4,33.5
2012-08,7.40,14.4,23.2,32.0
2012-09,56.15,10.3,18.4,26.6
2012-10,24.04,1.6,9.4,17.1
2012-11,9.08,-1.7,6.5,14.8
2012-12,7.07,-6.9,0.4,7.8
2013-01,6.58,-8.9,-0.8,7.4
2013-02,20.97,-7.9,-0.7,6.4
2013-03,30.14,-4.4,3.0,10.4
2013-04,42.94,-1.6,5.6,12.7
2013-05,57.16,7.1,14.2,21.3
2013-06,11.88,12.5,21.3,30.1
2013-07,77.66,15.9,23.2,30.4
2013-08,41.56,15.0,23.0,30.9
2013-09,296.49,12.2,19.0,25.9
2013-10,17.08,2.0,8.6,15.3
2013-11,4.24,-2.8,5.0,12.8
2013-12,9.73,-9.4,-1.6,6.2
2014-01,24.19,-7.4,0.2,7.8
2014-02,9.15,-8.9,-1.7,5.5
2014-03,27.56,-2.8,5.0,12.8
2014-04,41.15,1.9,9.3,16.7
2014-05,93.89,7.0,13.7,20.4
2014-06,32.21,10.8,19.1,27.5
2014-07,98.51,15.5,22.9,30.4
2014-08,40.62,13.5,21.0,28.6
2014-09,63.18,9.6,17.8,26.1
2014-10,24.50,4.1,12.5,20.8
2014-11,18.01,-5.1,2.5,10.1
2014-12,16.05,-6.7,0.1,6.9
2015-01,8.71,-6.4,1.1,8.5
2015-02,61.30,-5.6,1.3,8.1
2015-03,20.97,-0.9,6.5,13.9
2015-04,63.03,2.0,9.1,16.3
2015-05,140.61,5.7,11.3,16.8
2015-06,175.52,13.4,20.5,27.6
2015-07,42.22,14.8,22.2,29.5
2015-08,23.17,14.2,22.6,31.1
2015-09,6.29,11.4,20.3,29.2
2015-10,49.55,6.4,13.6,20.9
2015-11,49.14,-3.1,4.4,11.8
2015-12,24.56,-6.8,-0.5,5.8
2016-01,8.01,-6.6,0.5,7.7
2016-02,19.12,-4.0,3.7,11.3
2016-03,41.51,-1.8,5.5,12.9
2016-04,71.83,2.1,8.7,15.4
2016-05,47.22,5.2,12.0,18.8
2016-06,37.05,13.8,22.0,30.2
2016-07,32.84,15.9,24.4,32.9
2016-08,24.82,13.7,21.9,30.2
2016-09,1.33,9.8,18.8,27.8
2016-10,7.67,4.9,14.2,23.5
2016-11,13.70,0.1,8.2,16.2
2016-12,17.46,-9.6,-1.7,6.3
2017-01,17.98,-8.1,-1.1,5.8
2017-02,2.84,-2.6,5.2,13.0
2017-03,17.76,-0.4,8.5,17.3
2017-04,41.14,1.7,9.5,17.2
2017-05,112.90,5.4,12.9,20.4
2017-06,24.31,12.5,21.2,29.9
2017-07,19.00,16.0,24.5,33.0
2017-08,36.22,13.6,21.8,29.9
2017-09,29.61,10.4,18.3,26.2
2017-10,31.20,1.8,10.1,18.4
2017-11,5.31,-1.1,7.4,15.9
2017-12,6.42,-7.1,1.2,9.5
2018-01,9.91,-6.9,1.2,9.3
2018-02,12.77,-9.5,-1.7,6.1
2018-03,42.16,-2.3,6.1,14.4
2018-04,27.68,0.2,8.6,17.1
2018-05,59.00,8.6,16.2,23.9
2018-06,22.97,13.7,22.8,32.0
2018-07,43.49,16.2,23.9,31.7
2018-08,34.46,14.0,22.0,29.9
2018-09,22.70,10.9,19.5,28.1
2018-10,29.20,2.3,9.3,16.3
2018-11,10.31,-3.3,3.6,10.6
2018-12,0.72,-6.8,0.6,8.1
